ShamsiDate,Time,CO2 Klin no.1 (%),CO2 Klin no.2 (%),<10 (%),10-60 (%),>60 (%),ShamsiDateTime,Timestamp
1404/07/01,00:00,1.43,1.26,,,,1404-07-02 00:00:00,2025-09-24 00:00:00
1404/07/01,04:00,1.81,2.7,,,,1404-07-02 04:00:00,2025-09-24 04:00:00
1404/07/01,08:00,4.72,3.36,7.6,92.4,0.0,1404-07-01 08:00:00,2025-09-23 08:00:00
1404/07/01,10:00,,,5.8,94.2,0.0,1404-07-01 10:00:00,2025-09-23 10:00:00
1404/07/01,12:00,2.57,1.07,,,,1404-07-01 12:00:00,2025-09-23 12:00:00
1404/07/01,14:00,,,6.1,93.9,0.0,1404-07-01 14:00:00,2025-09-23 14:00:00
1404/07/01,16:00,1.81,1.34,,,,1404-07-01 16:00:00,2025-09-23 16:00:00
1404/07/01,20:00,1.08,0.76,,,,1404-07-01 20:00:00,2025-09-23 20:00:00
1404/07/02,00:00,1.08,5.18,,,,1404-07-03 00:00:00,2025-09-25 00:00:00
1404/07/02,04:00,3.86,3.25,,,,1404-07-03 04:00:00,2025-09-25 04:00:00
1404/07/02,08:00,2.18,2.5,7.0,93.0,0.0,1404-07-02 08:00:00,2025-09-24 08:00:00
1404/07/02,10:00,,,15.4,84.6,0.0,1404-07-02 10:00:00,2025-09-24 10:00:00
1404/07/02,12:00,5.95,1.81,,,,1404-07-02 12:00:00,2025-09-24 12:00:00
1404/07/02,14:00,,,24.4,75.6,0.0,1404-07-02 14:00:00,2025-09-24 14:00:00
1404/07/02,16:00,1.92,2.81,,,,1404-07-02 16:00:00,2025-09-24 16:00:00
1404/07/02,20:00,2.02,2.65,,,,1404-07-02 20:00:00,2025-09-24 20:00:00
1404/07/03,00:00,5.01,5.33,,,,1404-07-04 00:00:00,2025-09-26 00:00:00
1404/07/03,04:00,1.95,1.39,,,,1404-07-04 04:00:00,2025-09-26 04:00:00
1404/07/03,08:00,3.39,4.67,16.8,83.2,0.0,1404-07-03 08:00:00,2025-09-25 08:00:00
1404/07/03,10:00,,,,,,1404-07-03 10:00:00,2025-09-25 10:00:00
1404/07/03,12:00,4.16,2.98,,,,1404-07-03 12:00:00,2025-09-25 12:00:00
1404/07/03,14:00,,,,,,1404-07-03 14:00:00,2025-09-25 14:00:00
1404/07/03,16:00,1.72,3.97,,,,1404-07-03 16:00:00,2025-09-25 16:00:00
1404/07/03,20:00,4.5,6.54,,,,1404-07-03 20:00:00,2025-09-25 20:00:00
1404/07/04,00:00,5.01,0.97,,,,1404-07-05 00:00:00,2025-09-27 00:00:00
1404/07/04,04:00,1.86,1.29,,,,1404-07-05 04:00:00,2025-09-27 04:00:00
1404/07/04,08:00,3.11,1.68,13.4,86.6,0.0,1404-07-04 08:00:00,2025-09-26 08:00:00
1404/07/04,10:00,,,,,,1404-07-04 10:00:00,2025-09-26 10:00:00
1404/07/04,12:00,1.96,0.92,,,,1404-07-04 12:00:00,2025-09-26 12:00:00
1404/07/04,14:00,,,,,,1404-07-04 14:00:00,2025-09-26 14:00:00
1404/07/04,16:00,4.89,3.64,,,,1404-07-04 16:00:00,2025-09-26 16:00:00
1404/07/04,20:00,4.3,0.66,,,,1404-07-04 20:00:00,2025-09-26 20:00:00
1404/07/05,00:00,6.0,2.97,,,,1404-07-06 00:00:00,2025-09-28 00:00:00
1404/07/05,04:00,7.3,2.58,,,,1404-07-06 04:00:00,2025-09-28 04:00:00
1404/07/05,08:00,2.86,0.72,22.5,77.5,0.0,1404-07-05 08:00:00,2025-09-27 08:00:00
1404/07/05,10:00,,,21.4,78.6,0.0,1404-07-05 10:00:00,2025-09-27 10:00:00
1404/07/05,12:00,1.18,0.8,,,,1404-07-05 12:00:00,2025-09-27 12:00:00
1404/07/05,14:00,,,24.7,75.3,0.0,1404-07-05 14:00:00,2025-09-27 14:00:00
1404/07/05,16:00,0.99,0.34,,,,1404-07-05 16:00:00,2025-09-27 16:00:00
1404/07/05,20:00,1.6,5.31,,,,1404-07-05 20:00:00,2025-09-27 20:00:00
1404/07/06,00:00,4.87,6.13,,,,1404-07-07 00:00:00,2025-09-29 00:00:00
1404/07/06,04:00,6.13,5.51,,,,1404-07-07 04:00:00,2025-09-29 04:00:00
1404/07/06,08:00,4.56,2.83,19.7,80.3,0.0,1404-07-06 08:00:00,2025-09-28 08:00:00
1404/07/06,10:00,,,20.2,79.8,0.0,1404-07-06 10:00:00,2025-09-28 10:00:00
1404/07/06,12:00,5.54,4.32,,,,1404-07-06 12:00:00,2025-09-28 12:00:00
1404/07/06,14:00,,,24.4,75.6,0.0,1404-07-06 14:00:00,2025-09-28 14:00:00
1404/07/06,16:00,1.85,1.31,,,,1404-07-06 16:00:00,2025-09-28 16:00:00
1404/07/06,20:00,1.51,3.29,,,,1404-07-06 20:00:00,2025-09-28 20:00:00
1404/07/07,00:00,3.68,1.62,,,,1404-07-08 00:00:00,2025-09-30 00:00:00
1404/07/07,04:00,10.89,3.16,,,,1404-07-08 04:00:00,2025-09-30 04:00:00
1404/07/07,05:30,4.12,,,,,1404-07-07 05:30:00,2025-09-29 05:30:00
1404/07/07,08:00,5.48,1.77,23.1,76.9,0.0,1404-07-07 08:00:00,2025-09-29 08:00:00
1404/07/07,10:00,,,25.8,74.2,0.0,1404-07-07 10:00:00,2025-09-29 10:00:00
1404/07/07,12:00,3.91,3.82,,,,1404-07-07 12:00:00,2025-09-29 12:00:00
1404/07/07,14:00,,,4.3,95.7,0.0,1404-07-07 14:00:00,2025-09-29 14:00:00
1404/07/07,16:00,3.81,0.88,,,,1404-07-07 16:00:00,2025-09-29 16:00:00
1404/07/07,20:00,3.45,1.9,,,,1404-07-07 20:00:00,2025-09-29 20:00:00
1404/07/08,00:00,4.83,5.72,,,,1404-07-09 00:00:00,2025-10-01 00:00:00
1404/07/08,04:00,4.27,1.16,,,,1404-07-09 04:00:00,2025-10-01 04:00:00
1404/07/08,08:00,6.67,1.46,5.2,94.8,0.0,1404-07-08 08:00:00,2025-09-30 08:00:00
1404/07/08,10:00,,,20.7,79.3,0.0,1404-07-08 10:00:00,2025-09-30 10:00:00
1404/07/08,12:00,5.43,2.96,,,,1404-07-08 12:00:00,2025-09-30 12:00:00
1404/07/08,14:00,,,3.6,96.4,0.0,1404-07-08 14:00:00,2025-09-30 14:00:00
1404/07/08,16:00,5.2,1.64,,,,1404-07-08 16:00:00,2025-09-30 16:00:00
1404/07/08,20:00,7.8,4.33,,,,1404-07-08 20:00:00,2025-09-30 20:00:00
1404/07/08,21:00,9.32,,,,,1404-07-08 21:00:00,2025-09-30 21:00:00
1404/07/09,00:00,6.88,0.88,,,,1404-07-10 00:00:00,2025-10-02 00:00:00
1404/07/09,04:00,5.1,3.09,,,,1404-07-10 04:00:00,2025-10-02 04:00:00
1404/07/09,08:00,4.78,1.34,4.1,95.9,0.0,1404-07-09 08:00:00,2025-10-01 08:00:00
1404/07/09,10:00,,,5.9,94.1,0.0,1404-07-09 10:00:00,2025-10-01 10:00:00
1404/07/09,12:00,4.54,3.35,,,,1404-07-09 12:00:00,2025-10-01 12:00:00
1404/07/09,14:00,,,3.6,96.4,0.0,1404-07-09 14:00:00,2025-10-01 14:00:00
1404/07/09,16:00,3.34,2.82,,,,1404-07-09 16:00:00,2025-10-01 16:00:00
1404/07/09,20:00,1.04,2.29,,,,1404-07-09 20:00:00,2025-10-01 20:00:00
1404/07/10,00:00,4.07,3.41,,,,1404-07-11 00:00:00,2025-10-03 00:00:00
1404/07/10,04:00,4.32,5.54,,,,1404-07-11 04:00:00,2025-10-03 04:00:00
1404/07/10,08:00,2.53,2.63,5.4,94.6,0.0,1404-07-10 08:00:00,2025-10-02 08:00:00
1404/07/10,10:00,,,,,,1404-07-10 10:00:00,2025-10-02 10:00:00
1404/07/10,12:00,3.3,2.08,,,,1404-07-10 12:00:00,2025-10-02 12:00:00
1404/07/10,14:00,,,,,,1404-07-10 14:00:00,2025-10-02 14:00:00
1404/07/10,16:00,4.39,0.78,,,,1404-07-10 16:00:00,2025-10-02 16:00:00
1404/07/10,20:00,3.65,5.53,,,,1404-07-10 20:00:00,2025-10-02 20:00:00
1404/07/11,00:00,4.34,5.54,,,,1404-07-12 00:00:00,2025-10-04 00:00:00
1404/07/11,04:00,4.7,5.96,,,,1404-07-12 04:00:00,2025-10-04 04:00:00
1404/07/11,08:00,3.48,3.39,3.7,96.3,0.0,1404-07-11 08:00:00,2025-10-03 08:00:00
1404/07/11,10:00,,,,,,1404-07-11 10:00:00,2025-10-03 10:00:00
1404/07/11,12:00,2.74,2.24,,,,1404-07-11 12:00:00,2025-10-03 12:00:00
1404/07/11,14:00,,,,,,1404-07-11 14:00:00,2025-10-03 14:00:00
1404/07/11,16:00,2.07,4.8,,,,1404-07-11 16:00:00,2025-10-03 16:00:00
1404/07/11,20:00,2.07,4.63,,,,1404-07-11 20:00:00,2025-10-03 20:00:00
1404/07/12,00:00,5.44,4.55,,,,1404-07-13 00:00:00,2025-10-05 00:00:00
1404/07/12,04:00,4.44,6.6,,,,1404-07-13 04:00:00,2025-10-05 04:00:00
1404/07/12,08:00,6.11,6.53,2.9,97.1,0.0,1404-07-12 08:00:00,2025-10-04 08:00:00
1404/07/12,10:00,,,3.1,96.9,0.0,1404-07-12 10:00:00,2025-10-04 10:00:00
1404/07/12,12:00,6.14,3.8,,,,1404-07-12 12:00:00,2025-10-04 12:00:00
1404/07/12,14:00,,,2.8,97.2,0.0,1404-07-12 14:00:00,2025-10-04 14:00:00
1404/07/12,16:00,5.15,7.46,,,,1404-07-12 16:00:00,2025-10-04 16:00:00
1404/07/12,20:00,7.42,1.5,,,,1404-07-12 20:00:00,2025-10-04 20:00:00
1404/07/13,00:00,4.42,6.09,,,,1404-07-14 00:00:00,2025-10-06 00:00:00
1404/07/13,04:00,4.04,5.23,,,,1404-07-14 04:00:00,2025-10-06 04:00:00
1404/07/13,08:00,1.4,3.5,4.1,95.9,0.0,1404-07-13 08:00:00,2025-10-05 08:00:00
1404/07/13,10:00,,,5.4,94.6,0.0,1404-07-13 10:00:00,2025-10-05 10:00:00
1404/07/13,12:00,3.65,2.8,,,,1404-07-13 12:00:00,2025-10-05 12:00:00
1404/07/13,14:00,,,4.0,96.0,0.0,1404-07-13 14:00:00,2025-10-05 14:00:00
1404/07/13,16:00,5.63,6.65,,,,1404-07-13 16:00:00,2025-10-05 16:00:00
1404/07/13,20:00,3.94,5.94,,,,1404-07-13 20:00:00,2025-10-05 20:00:00
1404/07/14,00:00,2.04,4.96,,,,1404-07-15 00:00:00,2025-10-07 00:00:00
1404/07/14,04:00,2.94,5.59,,,,1404-07-15 04:00:00,2025-10-07 04:00:00
1404/07/14,08:00,9.62,1.97,3.5,96.5,0.0,1404-07-14 08:00:00,2025-10-06 08:00:00
1404/07/14,10:00,6.64,,3.3,96.7,0.0,1404-07-14 10:00:00,2025-10-06 10:00:00
1404/07/14,12:00,4.5,9.34,,,,1404-07-14 12:00:00,2025-10-06 12:00:00
1404/07/14,14:00,,5.13,3.8,96.2,0.0,1404-07-14 14:00:00,2025-10-06 14:00:00
1404/07/14,16:00,1.95,3.49,,,,1404-07-14 16:00:00,2025-10-06 16:00:00
1404/07/14,20:00,5.22,5.11,,,,1404-07-14 20:00:00,2025-10-06 20:00:00
1404/07/15,00:00,2.12,0.85,,,,1404-07-16 00:00:00,2025-10-08 00:00:00
1404/07/15,04:00,4.91,2.62,,,,1404-07-16 04:00:00,2025-10-08 04:00:00
1404/07/15,08:00,6.03,5.17,4.4,95.6,0.0,1404-07-15 08:00:00,2025-10-07 08:00:00
1404/07/15,10:00,,,4.2,95.8,0.0,1404-07-15 10:00:00,2025-10-07 10:00:00
1404/07/15,12:00,4.54,2.21,,,,1404-07-15 12:00:00,2025-10-07 12:00:00
1404/07/15,14:00,,,4.4,95.6,0.0,1404-07-15 14:00:00,2025-10-07 14:00:00
1404/07/15,16:00,4.49,0.79,,,,1404-07-15 16:00:00,2025-10-07 16:00:00
1404/07/15,20:00,1.03,2.64,,,,1404-07-15 20:00:00,2025-10-07 20:00:00
1404/07/16,00:00,1.88,4.35,,,,1404-07-17 00:00:00,2025-10-09 00:00:00
1404/07/16,04:00,2.4,2.72,,,,1404-07-17 04:00:00,2025-10-09 04:00:00
1404/07/16,08:00,7.04,1.83,4.8,95.2,0.0,1404-07-16 08:00:00,2025-10-08 08:00:00
1404/07/16,10:00,,,12.7,87.3,0.0,1404-07-16 10:00:00,2025-10-08 10:00:00
1404/07/16,12:00,3.69,3.49,,,,1404-07-16 12:00:00,2025-10-08 12:00:00
1404/07/16,14:00,,,4.7,95.3,0.0,1404-07-16 14:00:00,2025-10-08 14:00:00
1404/07/16,16:00,4.07,5.42,,,,1404-07-16 16:00:00,2025-10-08 16:00:00
1404/07/16,20:00,4.28,2.24,,,,1404-07-16 20:00:00,2025-10-08 20:00:00
1404/07/17,00:00,7.55,2.22,,,,1404-07-18 00:00:00,2025-10-10 00:00:00
1404/07/17,04:00,5.54,2.61,,,,1404-07-18 04:00:00,2025-10-10 04:00:00
1404/07/17,08:00,1.79,4.39,4.3,95.7,0.0,1404-07-17 08:00:00,2025-10-09 08:00:00
1404/07/17,10:00,,,,,,1404-07-17 10:00:00,2025-10-09 10:00:00
1404/07/17,12:00,4.87,3.07,,,,1404-07-17 12:00:00,2025-10-09 12:00:00
1404/07/17,14:00,,,,,,1404-07-17 14:00:00,2025-10-09 14:00:00
1404/07/17,16:00,5.57,7.47,,,,1404-07-17 16:00:00,2025-10-09 16:00:00
1404/07/17,20:00,3.95,2.97,,,,1404-07-17 20:00:00,2025-10-09 20:00:00
1404/07/18,00:00,6.02,2.65,,,,1404-07-19 00:00:00,2025-10-11 00:00:00
1404/07/18,04:00,7.03,3.83,,,,1404-07-19 04:00:00,2025-10-11 04:00:00
1404/07/18,08:00,1.91,1.82,5.0,95.0,0.0,1404-07-18 08:00:00,2025-10-10 08:00:00
1404/07/18,10:00,,,,,,1404-07-18 10:00:00,2025-10-10 10:00:00
1404/07/18,12:00,4.89,3.34,,,,1404-07-18 12:00:00,2025-10-10 12:00:00
1404/07/18,14:00,,,,,,1404-07-18 14:00:00,2025-10-10 14:00:00
1404/07/18,16:00,4.81,2.61,,,,1404-07-18 16:00:00,2025-10-10 16:00:00
1404/07/18,20:00,5.03,0.81,,,,1404-07-18 20:00:00,2025-10-10 20:00:00
1404/07/19,00:00,5.63,1.92,,,,1404-07-20 00:00:00,2025-10-12 00:00:00
1404/07/19,04:00,4.23,1.24,,,,1404-07-20 04:00:00,2025-10-12 04:00:00
1404/07/19,08:00,5.13,4.6,4.6,95.4,0.0,1404-07-19 08:00:00,2025-10-11 08:00:00
1404/07/19,10:00,,,4.4,95.6,0.0,1404-07-19 10:00:00,2025-10-11 10:00:00
1404/07/19,12:00,1.88,3.81,,,,1404-07-19 12:00:00,2025-10-11 12:00:00
1404/07/19,14:00,,,3.3,96.7,0.0,1404-07-19 14:00:00,2025-10-11 14:00:00
1404/07/19,16:00,6.2,5.31,,,,1404-07-19 16:00:00,2025-10-11 16:00:00
1404/07/19,20:00,2.26,1.8,,,,1404-07-19 20:00:00,2025-10-11 20:00:00
1404/07/20,00:00,3.02,2.27,,,,1404-07-21 00:00:00,2025-10-13 00:00:00
1404/07/20,04:00,4.01,3.19,,,,1404-07-21 04:00:00,2025-10-13 04:00:00
1404/07/20,08:00,3.31,1.76,4.4,95.6,0.0,1404-07-20 08:00:00,2025-10-12 08:00:00
1404/07/20,10:00,,,3.6,96.4,0.0,1404-07-20 10:00:00,2025-10-12 10:00:00
1404/07/20,12:00,4.28,2.63,,,,1404-07-20 12:00:00,2025-10-12 12:00:00
1404/07/20,14:00,,,3.8,96.2,0.0,1404-07-20 14:00:00,2025-10-12 14:00:00
1404/07/20,16:00,5.44,4.86,,,,1404-07-20 16:00:00,2025-10-12 16:00:00
1404/07/20,20:00,8.59,3.69,,,,1404-07-20 20:00:00,2025-10-12 20:00:00
1404/07/20,20:30,6.43,,,,,1404-07-20 20:30:00,2025-10-12 20:30:00
1404/07/21,00:00,4.12,5.48,,,,1404-07-22 00:00:00,2025-10-14 00:00:00
1404/07/21,04:00,6.02,6.65,,,,1404-07-22 04:00:00,2025-10-14 04:00:00
1404/07/21,08:00,3.47,5.12,4.6,95.4,0.0,1404-07-21 08:00:00,2025-10-13 08:00:00
1404/07/21,10:00,,,4.0,96.0,0.0,1404-07-21 10:00:00,2025-10-13 10:00:00
1404/07/21,12:00,6.66,9.8,,,,1404-07-21 12:00:00,2025-10-13 12:00:00
1404/07/21,13:00,,5.83,,,,1404-07-21 13:00:00,2025-10-13 13:00:00
1404/07/21,14:00,,,3.9,96.1,0.0,1404-07-21 14:00:00,2025-10-13 14:00:00
1404/07/21,16:00,4.61,3.09,,,,1404-07-21 16:00:00,2025-10-13 16:00:00
1404/07/21,20:00,3.09,4.18,,,,1404-07-21 20:00:00,2025-10-13 20:00:00
1404/07/22,00:00,3.05,6.78,,,,1404-07-23 00:00:00,2025-10-15 00:00:00
1404/07/22,04:00,4.45,4.36,,,,1404-07-23 04:00:00,2025-10-15 04:00:00
1404/07/22,08:00,4.13,4.29,4.2,95.8,0.0,1404-07-22 08:00:00,2025-10-14 08:00:00
1404/07/22,10:00,,,6.3,93.7,0.0,1404-07-22 10:00:00,2025-10-14 10:00:00
1404/07/22,12:00,7.98,3.81,,,,1404-07-22 12:00:00,2025-10-14 12:00:00
1404/07/22,14:00,5.54,,3.8,91.2,5.0,1404-07-22 14:00:00,2025-10-14 14:00:00
1404/07/22,16:00,5.97,6.62,,,,1404-07-22 16:00:00,2025-10-14 16:00:00
1404/07/22,20:00,4.39,8.77,,,,1404-07-22 20:00:00,2025-10-14 20:00:00
1404/07/22,21:30,,8.99,,,,1404-07-22 21:30:00,2025-10-14 21:30:00
1404/07/23,00:00,4.16,2.09,,,,1404-07-24 00:00:00,2025-10-16 00:00:00
1404/07/23,04:00,5.43,2.36,,,,1404-07-24 04:00:00,2025-10-16 04:00:00
1404/07/23,08:00,6.33,4.14,3.7,96.3,0.0,1404-07-23 08:00:00,2025-10-15 08:00:00
1404/07/23,10:00,,,3.0,90.7,6.3,1404-07-23 10:00:00,2025-10-15 10:00:00
1404/07/23,12:00,0.79,1.47,,,,1404-07-23 12:00:00,2025-10-15 12:00:00
1404/07/23,14:00,,,3.3,91.8,4.9,1404-07-23 14:00:00,2025-10-15 14:00:00
1404/07/23,16:00,2.1,6.28,,,,1404-07-23 16:00:00,2025-10-15 16:00:00
1404/07/23,20:00,2.74,4.3,,,,1404-07-23 20:00:00,2025-10-15 20:00:00
1404/07/24,00:00,3.84,5.32,,,,1404-07-25 00:00:00,2025-10-17 00:00:00
1404/07/24,04:00,5.91,2.53,,,,1404-07-25 04:00:00,2025-10-17 04:00:00
1404/07/24,08:00,6.56,6.17,11.4,88.6,0.0,1404-07-24 08:00:00,2025-10-16 08:00:00
1404/07/24,10:00,,,,,,1404-07-24 10:00:00,2025-10-16 10:00:00
1404/07/24,12:00,3.11,5.54,,,,1404-07-24 12:00:00,2025-10-16 12:00:00
1404/07/24,14:00,,,,,,1404-07-24 14:00:00,2025-10-16 14:00:00
1404/07/24,16:00,5.51,5.65,,,,1404-07-24 16:00:00,2025-10-16 16:00:00
1404/07/24,20:00,4.12,0.96,,,,1404-07-24 20:00:00,2025-10-16 20:00:00
1404/07/25,00:00,3.06,4.94,,,,1404-07-26 00:00:00,2025-10-18 00:00:00
1404/07/25,04:00,2.42,4.86,,,,1404-07-26 04:00:00,2025-10-18 04:00:00
1404/07/25,08:00,6.22,4.4,5.1,94.9,0.0,1404-07-25 08:00:00,2025-10-17 08:00:00
1404/07/25,10:00,,,,,,1404-07-25 10:00:00,2025-10-17 10:00:00
1404/07/25,12:00,3.44,5.17,,,,1404-07-25 12:00:00,2025-10-17 12:00:00
1404/07/25,14:00,,,,,,1404-07-25 14:00:00,2025-10-17 14:00:00
1404/07/25,16:00,7.08,7.38,,,,1404-07-25 16:00:00,2025-10-17 16:00:00
1404/07/25,20:00,3.36,3.38,,,,1404-07-25 20:00:00,2025-10-17 20:00:00
1404/07/26,00:00,3.18,3.46,,,,1404-07-27 00:00:00,2025-10-19 00:00:00
1404/07/26,04:00,8.34,6.4,,,,1404-07-27 04:00:00,2025-10-19 04:00:00
1404/07/26,05:30,3.3,,,,,1404-07-26 05:30:00,2025-10-18 05:30:00
1404/07/26,08:00,7.0,2.89,7.6,92.4,0.0,1404-07-26 08:00:00,2025-10-18 08:00:00
1404/07/26,10:00,,,4.8,95.2,0.0,1404-07-26 10:00:00,2025-10-18 10:00:00
1404/07/26,12:00,8.02,2.35,,,,1404-07-26 12:00:00,2025-10-18 12:00:00
1404/07/26,14:00,12.22,,4.9,95.1,0.0,1404-07-26 14:00:00,2025-10-18 14:00:00
1404/07/26,16:00,9.95,5.81,,,,1404-07-26 16:00:00,2025-10-18 16:00:00
1404/07/26,20:00,8.64,3.56,,,,1404-07-26 20:00:00,2025-10-18 20:00:00
1404/07/27,00:00,4.28,4.52,,,,1404-07-28 00:00:00,2025-10-20 00:00:00
1404/07/27,04:00,2.04,2.17,,,,1404-07-28 04:00:00,2025-10-20 04:00:00
1404/07/27,08:00,3.22,2.22,5.7,94.3,0.0,1404-07-27 08:00:00,2025-10-19 08:00:00
1404/07/27,10:00,,,17.1,82.9,0.0,1404-07-27 10:00:00,2025-10-19 10:00:00
1404/07/27,12:00,4.1,2.89,,,,1404-07-27 12:00:00,2025-10-19 12:00:00
1404/07/27,14:00,,,11.7,88.3,0.0,1404-07-27 14:00:00,2025-10-19 14:00:00
1404/07/27,16:00,1.4,4.73,,,,1404-07-27 16:00:00,2025-10-19 16:00:00
1404/07/27,20:00,1.49,3.94,,,,1404-07-27 20:00:00,2025-10-19 20:00:00
1404/07/28,00:00,4.52,5.13,,,,1404-07-29 00:00:00,2025-10-21 00:00:00
1404/07/28,04:00,3.98,1.31,,,,1404-07-29 04:00:00,2025-10-21 04:00:00
1404/07/28,08:00,2.6,4.58,5.4,94.6,0.0,1404-07-28 08:00:00,2025-10-20 08:00:00
1404/07/28,10:00,,,3.8,96.2,0.0,1404-07-28 10:00:00,2025-10-20 10:00:00
1404/07/28,12:00,6.36,1.39,,,,1404-07-28 12:00:00,2025-10-20 12:00:00
1404/07/28,14:00,,,4.4,95.6,0.0,1404-07-28 14:00:00,2025-10-20 14:00:00
1404/07/28,16:00,5.66,4.37,,,,1404-07-28 16:00:00,2025-10-20 16:00:00
1404/07/28,20:00,2.51,3.94,,,,1404-07-28 20:00:00,2025-10-20 20:00:00
1404/07/29,00:00,3.72,3.16,,,,1404-07-30 00:00:00,2025-10-22 00:00:00
1404/07/29,04:00,3.17,1.34,,,,1404-07-30 04:00:00,2025-10-22 04:00:00
1404/07/29,08:00,6.37,2.58,4.8,95.2,0.0,1404-07-29 08:00:00,2025-10-21 08:00:00
1404/07/29,10:00,,,4.7,95.3,0.0,1404-07-29 10:00:00,2025-10-21 10:00:00
1404/07/29,12:00,9.78,1.91,,,,1404-07-29 12:00:00,2025-10-21 12:00:00
1404/07/29,12:30,3.08,,,,,1404-07-29 12:30:00,2025-10-21 12:30:00
1404/07/29,14:00,,,4.5,95.5,0.0,1404-07-29 14:00:00,2025-10-21 14:00:00
1404/07/29,16:00,3.57,5.54,,,,1404-07-29 16:00:00,2025-10-21 16:00:00
1404/07/29,20:00,2.04,3.57,,,,1404-07-29 20:00:00,2025-10-21 20:00:00
1404/07/30,00:00,2.16,4.64,,,,1404-08-01 00:00:00,2025-10-23 00:00:00
1404/07/30,04:00,2.5,5.49,,,,1404-08-01 04:00:00,2025-10-23 04:00:00
1404/07/30,08:00,2.81,3.28,5.1,94.9,0.0,1404-07-30 08:00:00,2025-10-22 08:00:00
1404/07/30,10:00,,,4.7,95.3,0.0,1404-07-30 10:00:00,2025-10-22 10:00:00
1404/07/30,12:00,3.03,6.24,,,,1404-07-30 12:00:00,2025-10-22 12:00:00
1404/07/30,14:00,,,2.7,97.3,0.0,1404-07-30 14:00:00,2025-10-22 14:00:00
1404/07/30,16:00,5.25,2.4,,,,1404-07-30 16:00:00,2025-10-22 16:00:00
1404/07/30,20:00,3.05,4.54,,,,1404-07-30 20:00:00,2025-10-22 20:00:00
